corridor,state,slope_angle_deg,elevation_m,geology,rainfall_24h_mm,rainfall_72h_accum_mm,soil_saturation_pct,road_curvature_index,drainage_capacity_score,vegetation_loss_index,historical_landslides,heavy_truck_intensity,disruption_prob,disruption_occurred,hazard_type,clearance_time_hours
NH-102,Manipur,39.72,539.6,Gneiss-Schist,168.57,454.49,99.0,3.5,1.0,0.388,5,1781,0.99,1,Major Landslide / Rockfall,10.9
NH-10,Sikkim,38.73,1376.8,Sandstone-Siltstone,1.02,25.84,17.8,5.1,3.8,0.111,3,1455,0.1376,0,None,0.0
NH-715,Assam,12.3,78.6,Fractured Shale,22.53,94.46,38.0,5.9,7.0,0.121,1,1276,0.01,0,None,0.0
NH-10,Sikkim,40.29,1086.5,Sandstone-Siltstone,320.0,650.0,99.0,6.3,6.6,0.253,2,1268,0.99,1,Major Landslide / Rockfall,13.0
NH-208,Tripura,20.04,50.0,Fractured Shale,89.41,280.88,49.6,4.5,4.5,0.15,0,1115,0.9329,1,Tree Fall & Rock Obstruction,0.8
NH-10,Sikkim,42.67,1110.0,Fractured Shale,12.46,43.87,19.9,3.1,1.7,0.255,3,1152,0.5106,0,None,0.0
NH-208,Tripura,22.74,50.0,Sandstone-Siltstone,2.48,32.22,11.2,4.8,2.9,0.591,1,1190,0.0215,0,None,0.0
NH-208,Tripura,11.95,215.3,Gneiss-Schist,7.26,30.41,15.6,6.3,2.6,0.557,1,1357,0.01,0,None,0.0
NH-102,Manipur,32.28,1000.1,Sandstone-Siltstone,19.67,62.11,25.2,8.0,1.0,0.385,0,857,0.2003,0,None,0.0
NH-10,Sikkim,49.46,1437.6,Fractured Shale,51.74,149.64,38.6,2.1,8.5,0.489,7,1432,0.99,1,Road Subsidence & Edge Collapse,23.5
NH-208,Tripura,8.0,50.0,Alluvial Silt,1.04,19.61,20.6,5.7,9.5,0.384,1,830,0.01,0,None,0.0
NH-27,Assam,25.79,50.0,Gneiss-Schist,6.31,32.56,22.1,9.3,3.4,0.695,0,305,0.0486,0,None,0.0
NH-13,Arunachal Pradesh,48.16,2497.3,Fractured Shale,9.84,49.67,13.8,10.0,1.0,0.407,7,1408,0.9393,1,Road Subsidence & Edge Collapse,22.5
NH-29,Nagaland,28.84,1219.2,Limestone Karst,1.81,25.49,20.6,1.6,5.4,0.625,0,1402,0.085,0,None,0.0
NH-29,Nagaland,43.03,1167.9,Alluvial Silt,0.85,9.28,34.0,7.0,5.1,0.483,6,1375,0.5202,1,Road Subsidence & Edge Collapse,45.1
NH-102,Manipur,32.22,937.1,Fractured Shale,1.28,6.9,10.8,5.1,7.1,0.558,2,1350,0.0158,0,None,0.0
NH-10,Sikkim,44.47,1290.7,Gneiss-Schist,176.95,422.93,75.6,4.7,5.5,0.272,1,1400,0.99,1,Major Landslide / Rockfall,20.7
NH-10,Sikkim,51.44,1040.7,Sandstone-Siltstone,38.77,100.54,30.4,7.6,5.3,0.11,1,718,0.862,1,Tree Fall & Rock Obstruction,0.5
NH-208,Tripura,22.86,50.0,Fractured Shale,15.61,52.79,32.3,5.2,2.6,0.602,1,1618,0.045,0,None,0.0
NH-715,Assam,16.94,50.0,Fractured Shale,75.52,244.77,65.0,9.4,4.6,0.684,2,855,0.9507,1,Tree Fall & Rock Obstruction,1.5
NH-6,Meghalaya,40.93,1825.0,Sandstone-Siltstone,55.3,195.34,53.4,6.1,7.3,0.411,5,1186,0.985,1,Road Subsidence & Edge Collapse,12.1
NH-208,Tripura,17.32,119.2,Fractured Shale,5.35,25.37,35.3,7.1,8.7,0.399,0,1782,0.01,0,None,0.0
NH-13,Arunachal Pradesh,61.54,1909.6,Alluvial Silt,142.79,359.44,93.4,5.6,5.4,0.67,1,1672,0.99,1,Major Landslide / Rockfall,25.9
NH-27,Assam,8.0,50.0,Fractured Shale,4.38,16.49,29.2,10.0,5.9,0.804,1,1141,0.01,0,None,0.0
NH-29,Nagaland,42.91,1424.7,Alluvial Silt,6.18,31.8,18.0,3.2,4.5,0.665,4,1693,0.5135,0,None,0.0
NH-208,Tripura,18.42,191.4,Alluvial Silt,6.96,52.7,52.5,6.2,6.1,0.217,1,1130,0.0337,0,None,0.0
NH-6,Meghalaya,43.29,1545.2,Gneiss-Schist,92.19,198.52,43.6,4.3,1.5,0.488,1,2012,0.99,1,Major Landslide / Rockfall,17.1
NH-6,Meghalaya,32.51,1437.2,Fractured Shale,0.28,7.01,25.2,3.5,6.9,0.576,0,1210,0.0121,0,None,0.0
NH-208,Tripura,8.0,50.0,Gneiss-Schist,5.47,31.97,14.1,4.7,9.1,0.336,0,1259,0.01,0,None,0.0
NH-102,Manipur,33.02,822.8,Sandstone-Siltstone,116.37,313.31,78.4,5.4,4.7,0.208,1,826,0.99,1,Mudslide & Debris Flow,6.8
NH-29,Nagaland,43.83,1720.2,Gneiss-Schist,188.06,560.64,99.0,5.1,5.8,0.263,4,1446,0.99,1,Major Landslide / Rockfall,11.7
NH-102,Manipur,41.68,606.2,Fractured Shale,44.26,137.0,36.1,6.4,2.7,0.56,6,1221,0.99,1,Road Subsidence & Edge Collapse,14.4
NH-27,Assam,8.0,50.0,Alluvial Silt,81.68,255.06,39.5,1.6,7.9,0.48,1,1139,0.4538,0,None,0.0
NH-6,Meghalaya,45.51,1579.2,Fractured Shale,171.32,383.94,99.0,8.3,4.2,0.749,2,1517,0.99,1,Major Landslide / Rockfall,10.8
NH-6,Meghalaya,53.39,1662.6,Gneiss-Schist,1.24,5.28,32.0,10.0,3.1,0.244,6,1045,0.7954,0,None,0.0
NH-13,Arunachal Pradesh,47.54,2142.1,Alluvial Silt,101.45,224.57,69.8,5.6,5.5,0.4,8,1140,0.99,1,Major Landslide / Rockfall,12.1
NH-27,Assam,8.0,50.0,Gneiss-Schist,1.69,36.03,6.9,7.5,3.9,0.429,1,1476,0.01,0,None,0.0
NH-6,Meghalaya,35.35,1003.4,Fractured Shale,86.99,204.42,61.3,6.4,3.5,0.253,3,940,0.99,1,Major Landslide / Rockfall,17.0
NH-27,Assam,12.09,237.7,Fractured Shale,2.83,39.08,20.5,1.9,3.1,0.18,0,697,0.01,0,None,0.0
NH-29,Nagaland,45.66,1895.6,Sandstone-Siltstone,253.83,650.0,99.0,4.2,1.0,0.496,5,1250,0.99,1,Major Landslide / Rockfall,22.6
NH-10,Sikkim,41.16,1969.5,Fractured Shale,8.22,53.78,16.3,3.2,2.5,0.315,2,729,0.3313,0,None,0.0
NH-6,Meghalaya,48.11,1515.9,Fractured Shale,56.46,120.27,50.9,5.3,8.1,0.274,5,2163,0.988,1,Road Subsidence & Edge Collapse,23.2
NH-13,Arunachal Pradesh,42.76,2184.7,Fractured Shale,4.12,46.72,26.5,10.0,7.0,0.376,6,1805,0.5281,1,Road Subsidence & Edge Collapse,7.8
NH-29,Nagaland,30.7,1224.1,Gneiss-Schist,12.12,61.15,26.0,4.2,4.8,0.177,0,769,0.0674,0,None,0.0
NH-208,Tripura,25.19,50.0,Fractured Shale,3.79,37.29,25.3,4.9,4.8,0.486,1,1411,0.0134,0,None,0.0
NH-27,Assam,8.0,133.1,Alluvial Silt,2.2,7.69,18.4,6.5,1.9,0.178,0,1340,0.01,0,None,0.0
NH-208,Tripura,16.67,825.1,Sandstone-Siltstone,29.26,117.09,45.9,5.1,7.3,0.189,1,2272,0.0422,0,None,0.0
NH-102,Manipur,52.26,1331.2,Gneiss-Schist,64.34,230.95,35.3,7.4,3.7,0.838,6,1052,0.99,1,Major Landslide / Rockfall,10.0
NH-29,Nagaland,41.92,1835.0,Fractured Shale,3.96,47.9,19.5,7.9,6.6,0.41,2,1172,0.1853,1,Tree Fall & Rock Obstruction,1.6
NH-208,Tripura,10.72,193.7,Alluvial Silt,18.88,77.22,14.8,7.3,4.1,0.47,0,1339,0.0198,0,None,0.0
NH-715,Assam,14.63,202.9,Fractured Shale,22.43,84.42,32.5,2.9,3.4,0.389,0,1157,0.0108,0,None,0.0
NH-715,Assam,14.67,50.0,Fractured Shale,4.8,34.61,5.5,5.0,8.7,0.636,0,1162,0.01,0,None,0.0
NH-6,Meghalaya,39.04,1628.8,Fractured Shale,0.16,1.28,5.0,5.4,4.8,0.172,5,929,0.0831,0,None,0.0
NH-27,Assam,16.3,50.0,Fractured Shale,51.27,166.64,47.8,4.1,6.9,0.249,0,1076,0.108,0,None,0.0
NH-10,Sikkim,38.25,989.5,Sandstone-Siltstone,91.34,286.0,62.9,6.6,5.9,0.648,2,1149,0.99,1,Major Landslide / Rockfall,12.7
NH-29,Nagaland,52.97,1403.0,Gneiss-Schist,15.29,60.53,29.3,7.9,3.3,0.286,7,1711,0.9419,0,None,0.0
NH-6,Meghalaya,39.59,1292.9,Fractured Shale,81.38,267.3,50.5,6.6,7.5,0.491,1,739,0.99,1,Major Landslide / Rockfall,21.0
NH-13,Arunachal Pradesh,54.72,1984.7,Gneiss-Schist,18.51,67.48,24.6,4.0,2.7,0.184,4,1689,0.9051,1,Road Subsidence & Edge Collapse,41.0
NH-102,Manipur,27.92,954.2,Gneiss-Schist,38.33,72.27,27.3,7.2,3.7,0.668,2,568,0.3592,1,Tree Fall & Rock Obstruction,4.7
NH-27,Assam,20.36,50.0,Alluvial Silt,68.71,198.58,36.6,7.5,2.7,0.237,1,667,0.6385,0,None,0.0
NH-29,Nagaland,40.33,1530.1,Fractured Shale,75.26,199.55,43.5,6.9,4.6,0.05,3,1086,0.99,1,Major Landslide / Rockfall,9.0
NH-715,Assam,16.8,50.0,Fractured Shale,14.67,66.16,28.5,7.6,5.1,0.514,0,1448,0.01,0,None,0.0
NH-29,Nagaland,35.93,1435.8,Fractured Shale,48.68,144.96,37.1,6.3,2.4,0.247,4,893,0.9485,1,Road Subsidence & Edge Collapse,15.4
NH-10,Sikkim,38.52,871.1,Sandstone-Siltstone,56.35,189.02,40.1,9.7,3.2,0.488,8,1046,0.99,1,Road Subsidence & Edge Collapse,20.2
NH-715,Assam,19.47,50.0,Sandstone-Siltstone,3.05,45.08,25.3,5.3,4.7,0.265,0,837,0.01,0,None,0.0
NH-10,Sikkim,42.12,1243.0,Sandstone-Siltstone,1.34,18.97,13.3,3.1,7.4,0.603,3,1487,0.1939,1,Tree Fall & Rock Obstruction,5.9
NH-13,Arunachal Pradesh,44.45,1718.8,Fractured Shale,74.96,189.27,51.5,3.9,2.9,0.365,5,1404,0.99,0,None,0.0
NH-102,Manipur,27.82,703.3,Gneiss-Schist,19.04,87.26,36.0,9.3,6.8,0.745,1,956,0.1895,0,None,0.0
NH-13,Arunachal Pradesh,54.54,2370.7,Fractured Shale,28.35,103.67,39.4,8.0,3.3,0.268,6,2125,0.99,1,Road Subsidence & Edge Collapse,18.7
NH-6,Meghalaya,33.91,976.0,Sandstone-Siltstone,31.52,76.17,29.8,5.0,6.0,0.472,2,1340,0.353,0,None,0.0
NH-6,Meghalaya,37.24,1933.4,Fractured Shale,8.68,52.89,22.6,7.2,7.7,0.467,1,1615,0.0811,0,None,0.0
NH-13,Arunachal Pradesh,50.1,2561.3,Sandstone-Siltstone,119.54,363.81,79.3,4.9,7.5,0.116,3,1289,0.99,1,Major Landslide / Rockfall,20.5
NH-102,Manipur,19.54,801.6,Gneiss-Schist,1.85,12.92,30.5,3.3,5.0,0.585,0,269,0.0111,0,None,0.0
NH-13,Arunachal Pradesh,40.44,1963.8,Gneiss-Schist,180.62,523.85,99.0,7.3,5.1,0.343,4,1246,0.99,1,Major Landslide / Rockfall,4.4
NH-102,Manipur,34.19,1010.6,Alluvial Silt,67.06,163.03,57.6,7.5,1.3,0.387,3,1833,0.9463,1,Tree Fall & Rock Obstruction,2.1
NH-102,Manipur,27.21,515.8,Gneiss-Schist,90.26,270.67,58.1,6.9,7.6,0.692,1,750,0.9714,1,Tree Fall & Rock Obstruction,3.2
NH-208,Tripura,24.87,50.0,Fractured Shale,19.84,41.52,27.2,4.2,3.2,0.243,0,1058,0.0172,0,None,0.0
NH-715,Assam,21.28,50.0,Fractured Shale,0.48,26.12,21.6,4.0,3.9,0.441,0,922,0.01,0,None,0.0
NH-27,Assam,16.67,50.0,Alluvial Silt,53.41,189.48,55.5,6.4,6.2,0.297,0,1085,0.3295,0,None,0.0
NH-102,Manipur,43.83,978.3,Gneiss-Schist,148.37,294.48,39.2,5.2,1.9,0.799,4,1604,0.99,1,Major Landslide / Rockfall,8.4
NH-10,Sikkim,44.46,1015.6,Gneiss-Schist,18.5,65.41,32.2,6.3,5.2,0.267,2,1338,0.5436,1,Tree Fall & Rock Obstruction,1.8
NH-102,Manipur,36.22,1332.2,Gneiss-Schist,6.82,44.67,21.2,10.0,8.8,0.178,8,1094,0.2991,0,None,0.0
NH-102,Manipur,28.2,501.5,Fractured Shale,23.22,72.94,34.3,9.2,7.5,0.22,0,469,0.0288,0,None,0.0
NH-102,Manipur,47.94,608.5,Alluvial Silt,3.06,37.69,24.6,7.3,4.1,0.498,5,1327,0.6946,0,None,0.0
NH-208,Tripura,30.89,266.0,Fractured Shale,95.2,193.69,58.7,7.6,7.9,0.282,0,1078,0.9441,1,Tree Fall & Rock Obstruction,5.5
NH-715,Assam,15.08,50.0,Sandstone-Siltstone,78.8,258.85,51.2,6.3,5.7,0.884,2,1011,0.9112,0,None,0.0
NH-208,Tripura,20.51,50.0,Fractured Shale,35.92,104.05,15.3,7.2,8.3,0.065,0,1447,0.01,1,Tree Fall & Rock Obstruction,3.0
NH-6,Meghalaya,46.84,1437.0,Sandstone-Siltstone,70.24,248.61,43.0,3.4,2.0,0.288,6,1205,0.99,1,Major Landslide / Rockfall,23.7
NH-208,Tripura,17.04,50.0,Sandstone-Siltstone,142.17,317.65,66.4,6.7,7.6,0.708,1,1430,0.99,1,Flash Flood & Highway Waterlogging,21.2
NH-10,Sikkim,40.73,1160.1,Sandstone-Siltstone,4.09,20.42,10.5,5.5,7.0,0.088,1,644,0.052,0,None,0.0
NH-10,Sikkim,50.68,990.0,Sandstone-Siltstone,108.52,302.02,73.8,6.6,5.3,0.377,3,782,0.99,1,Major Landslide / Rockfall,17.7
NH-208,Tripura,18.51,50.0,Sandstone-Siltstone,141.16,360.68,91.4,6.9,4.3,0.444,1,690,0.99,1,Flash Flood & Highway Waterlogging,23.6
NH-715,Assam,16.19,50.0,Fractured Shale,3.13,43.97,30.0,3.7,1.3,0.091,1,1517,0.01,0,None,0.0
NH-13,Arunachal Pradesh,44.58,2241.9,Gneiss-Schist,117.54,242.71,52.2,3.5,6.2,0.669,4,1584,0.99,1,Major Landslide / Rockfall,15.5
NH-27,Assam,8.0,50.0,Gneiss-Schist,11.8,73.28,27.0,5.3,7.5,0.725,0,959,0.01,0,None,0.0
NH-715,Assam,16.53,50.0,Sandstone-Siltstone,67.96,197.46,56.0,6.0,1.8,0.727,0,1108,0.7614,0,None,0.0
NH-208,Tripura,23.88,50.0,Gneiss-Schist,95.31,310.4,83.8,4.7,6.9,0.49,1,1442,0.9847,1,Tree Fall & Rock Obstruction,4.2
NH-102,Manipur,30.53,888.0,Sandstone-Siltstone,34.13,105.78,44.5,10.0,5.0,0.575,3,311,0.6051,1,Tree Fall & Rock Obstruction,3.0
NH-29,Nagaland,51.34,1455.1,Fractured Shale,6.93,51.08,34.8,8.3,5.2,0.504,2,1846,0.7709,1,Tree Fall & Rock Obstruction,2.9
NH-27,Assam,8.0,138.1,Sandstone-Siltstone,38.92,137.96,43.6,3.5,5.8,0.629,0,987,0.042,0,None,0.0
NH-27,Assam,8.0,50.0,Fractured Shale,0.96,35.09,32.5,5.9,9.2,0.391,2,1041,0.01,0,None,0.0
NH-10,Sikkim,44.56,1572.8,Gneiss-Schist,100.21,277.85,72.4,5.8,5.0,0.106,5,1689,0.99,1,Major Landslide / Rockfall,12.3
NH-27,Assam,11.46,50.0,Sandstone-Siltstone,81.27,157.7,27.5,7.0,5.4,0.541,0,1325,0.2098,0,None,0.0
NH-208,Tripura,23.0,52.0,Fractured Shale,10.94,42.94,25.8,4.0,4.7,0.263,1,472,0.01,0,None,0.0
NH-102,Manipur,26.96,1200.9,Sandstone-Siltstone,139.33,318.73,63.1,5.7,2.7,0.193,2,542,0.99,1,Tree Fall & Rock Obstruction,2.6
NH-102,Manipur,40.89,1093.0,Alluvial Silt,81.42,214.69,44.6,2.8,3.5,0.686,0,1663,0.9777,1,Major Landslide / Rockfall,10.9
NH-6,Meghalaya,50.78,1107.5,Fractured Shale,40.06,118.98,37.7,5.0,4.6,0.585,2,1520,0.9837,1,Tree Fall & Rock Obstruction,0.8
NH-102,Manipur,31.75,707.5,Limestone Karst,72.23,154.73,42.4,4.5,5.7,0.558,1,893,0.7746,1,Tree Fall & Rock Obstruction,3.2
NH-715,Assam,23.12,50.0,Limestone Karst,3.29,23.14,16.8,5.6,10.0,0.342,2,1627,0.0316,0,None,0.0
NH-102,Manipur,25.13,1129.8,Gneiss-Schist,8.62,31.78,7.9,9.1,3.3,0.555,2,1597,0.0509,0,None,0.0
NH-10,Sikkim,51.99,978.0,Alluvial Silt,97.74,269.55,61.3,7.5,6.7,0.532,5,831,0.99,1,Major Landslide / Rockfall,20.5
NH-102,Manipur,38.81,1026.5,Sandstone-Siltstone,54.0,112.79,23.2,5.0,7.5,0.595,3,1545,0.8194,1,Tree Fall & Rock Obstruction,1.9
NH-6,Meghalaya,43.61,1479.3,Sandstone-Siltstone,25.93,100.05,35.9,5.5,6.3,0.743,2,605,0.818,1,Tree Fall & Rock Obstruction,0.9
NH-29,Nagaland,41.9,2210.5,Limestone Karst,28.5,61.44,25.6,4.4,7.9,0.594,2,1114,0.4966,1,Tree Fall & Rock Obstruction,3.0
NH-208,Tripura,8.0,214.0,Sandstone-Siltstone,5.86,18.38,24.5,7.4,5.4,0.697,0,1164,0.01,0,None,0.0
NH-10,Sikkim,40.83,956.7,Fractured Shale,2.19,39.22,12.0,3.6,5.0,0.505,1,1014,0.1244,0,None,0.0
NH-715,Assam,10.93,50.0,Fractured Shale,59.55,162.2,55.7,7.9,8.1,0.448,1,887,0.1056,1,Tree Fall & Rock Obstruction,5.1
NH-29,Nagaland,35.64,1417.2,Gneiss-Schist,2.26,42.85,24.7,8.6,3.2,0.408,2,1444,0.1934,0,None,0.0
NH-10,Sikkim,45.79,1164.3,Sandstone-Siltstone,7.78,44.18,56.7,4.9,7.5,0.75,6,640,0.8541,0,None,0.0
NH-13,Arunachal Pradesh,47.28,1536.8,Fractured Shale,4.58,23.65,10.6,5.4,6.4,0.088,4,919,0.2554,1,Road Subsidence & Edge Collapse,27.2
NH-27,Assam,8.0,50.0,Alluvial Silt,81.85,218.72,70.3,6.8,8.7,0.392,0,1370,0.3604,1,Tree Fall & Rock Obstruction,4.3
NH-13,Arunachal Pradesh,43.12,2289.2,Sandstone-Siltstone,5.14,38.06,14.1,3.5,3.6,0.34,4,1199,0.435,1,Road Subsidence & Edge Collapse,40.6
NH-102,Manipur,27.35,790.3,Sandstone-Siltstone,116.13,345.42,86.8,5.3,3.9,0.54,0,1302,0.99,1,Mudslide & Debris Flow,6.4
NH-29,Nagaland,49.29,1790.6,Fractured Shale,14.24,46.81,28.4,6.6,5.6,0.264,4,1019,0.747,1,Road Subsidence & Edge Collapse,37.3
NH-102,Manipur,27.7,482.5,Fractured Shale,0.11,30.88,5.5,3.4,3.4,0.301,1,1580,0.01,0,None,0.0
NH-27,Assam,8.65,283.1,Fractured Shale,20.03,82.69,26.9,4.5,3.3,0.252,1,1249,0.01,0,None,0.0
NH-10,Sikkim,42.03,1474.2,Sandstone-Siltstone,3.93,31.56,30.1,6.0,8.6,0.171,3,1085,0.1566,0,None,0.0
NH-27,Assam,14.2,366.9,Gneiss-Schist,2.2,21.64,16.8,3.3,6.1,0.776,2,868,0.01,0,None,0.0
NH-6,Meghalaya,40.97,930.2,Gneiss-Schist,51.34,156.99,52.8,9.7,6.2,0.67,1,495,0.9305,1,Tree Fall & Rock Obstruction,5.3
NH-27,Assam,8.0,174.4,Fractured Shale,1.05,29.9,26.0,4.4,2.2,0.551,0,798,0.01,0,None,0.0
NH-6,Meghalaya,44.64,1199.4,Alluvial Silt,97.91,275.01,74.9,7.6,4.8,0.343,6,707,0.99,1,Major Landslide / Rockfall,22.3
NH-27,Assam,21.34,50.0,Fractured Shale,19.01,49.96,29.1,6.0,7.6,0.154,0,831,0.01,0,None,0.0
NH-208,Tripura,11.17,50.0,Fractured Shale,151.03,358.44,69.4,5.1,7.2,0.319,1,793,0.99,1,Flash Flood & Highway Waterlogging,9.1
NH-6,Meghalaya,31.68,1128.5,Alluvial Silt,20.81,55.99,25.7,7.7,7.0,0.279,1,1093,0.125,0,None,0.0
NH-29,Nagaland,39.07,1776.2,Fractured Shale,59.14,223.26,56.6,8.6,9.6,0.484,2,2047,0.9829,1,Tree Fall & Rock Obstruction,0.8
NH-102,Manipur,27.09,1103.9,Gneiss-Schist,4.19,25.2,19.6,8.6,1.5,0.586,0,912,0.0536,0,None,0.0
NH-715,Assam,16.46,50.0,Fractured Shale,101.45,316.74,63.9,9.0,6.8,0.437,1,1757,0.9813,1,Flash Flood & Highway Waterlogging,8.6
NH-102,Manipur,19.35,732.7,Fractured Shale,80.93,217.33,51.2,9.3,5.6,0.274,0,1318,0.7287,1,Tree Fall & Rock Obstruction,2.0
NH-13,Arunachal Pradesh,42.73,2085.8,Gneiss-Schist,0.0,3.63,21.5,2.1,3.0,0.191,7,510,0.4766,1,Road Subsidence & Edge Collapse,23.4
NH-102,Manipur,42.0,928.3,Fractured Shale,3.05,34.35,21.6,8.9,4.2,0.089,7,1659,0.5014,1,Road Subsidence & Edge Collapse,18.1
NH-10,Sikkim,38.97,1501.9,Fractured Shale,74.96,202.1,27.3,4.8,5.8,0.112,4,1255,0.9871,1,Major Landslide / Rockfall,13.9
NH-208,Tripura,26.08,327.2,Sandstone-Siltstone,10.3,42.07,35.5,7.5,3.3,0.453,2,1469,0.0836,0,None,0.0
NH-27,Assam,14.31,95.4,Fractured Shale,94.43,247.55,54.5,5.8,7.9,0.885,0,785,0.8791,1,Tree Fall & Rock Obstruction,0.4
NH-13,Arunachal Pradesh,38.24,2121.8,Alluvial Silt,0.1,10.63,5.0,5.4,5.8,0.265,6,1284,0.2096,1,Road Subsidence & Edge Collapse,8.6
NH-10,Sikkim,49.13,668.0,Alluvial Silt,1.12,33.97,21.0,7.5,5.9,0.188,5,1681,0.5411,0,None,0.0
NH-10,Sikkim,44.24,1587.6,Gneiss-Schist,40.36,136.93,33.2,6.3,1.5,0.291,4,588,0.9555,1,Road Subsidence & Edge Collapse,41.7
NH-6,Meghalaya,35.04,1265.9,Fractured Shale,0.13,40.3,13.3,4.5,5.7,0.511,4,678,0.1158,0,None,0.0
NH-102,Manipur,33.59,1416.5,Sandstone-Siltstone,187.73,515.91,99.0,8.6,3.7,0.236,2,1380,0.99,1,Mudslide & Debris Flow,3.4
NH-29,Nagaland,45.09,1558.8,Gneiss-Schist,5.93,23.04,33.0,6.1,3.2,0.252,3,1838,0.4639,0,None,0.0
NH-715,Assam,19.6,702.6,Fractured Shale,1.07,36.73,26.2,6.0,5.2,0.786,0,959,0.01,0,None,0.0
NH-29,Nagaland,49.66,1681.9,Fractured Shale,16.1,36.85,7.9,8.2,5.8,0.265,2,331,0.429,1,Tree Fall & Rock Obstruction,0.2
NH-13,Arunachal Pradesh,52.65,1770.4,Alluvial Silt,40.18,131.09,35.7,5.5,8.3,0.509,4,850,0.9468,1,Road Subsidence & Edge Collapse,22.4
NH-208,Tripura,9.06,50.0,Sandstone-Siltstone,75.46,158.72,38.9,4.4,5.7,0.347,1,882,0.1619,0,None,0.0
NH-29,Nagaland,38.92,1449.3,Gneiss-Schist,92.16,255.15,65.6,3.4,8.1,0.334,1,951,0.9886,1,Major Landslide / Rockfall,22.7
NH-27,Assam,31.13,50.0,Fractured Shale,7.59,31.58,5.0,7.9,2.4,0.683,0,964,0.0386,0,None,0.0
NH-29,Nagaland,46.71,1386.9,Gneiss-Schist,5.28,41.21,28.2,4.2,5.8,0.366,2,1006,0.4222,1,Tree Fall & Rock Obstruction,1.9
NH-13,Arunachal Pradesh,65.4,1789.9,Fractured Shale,95.45,258.02,51.6,10.0,6.2,0.273,2,1272,0.99,0,None,0.0
NH-715,Assam,24.07,96.7,Alluvial Silt,9.12,42.31,16.8,8.8,4.1,0.709,1,1337,0.0757,0,None,0.0
NH-29,Nagaland,43.57,1571.2,Fractured Shale,2.06,31.63,29.8,7.4,2.0,0.056,6,1018,0.611,1,Road Subsidence & Edge Collapse,38.5
NH-27,Assam,13.96,50.0,Alluvial Silt,5.34,12.71,20.6,2.2,6.5,0.401,3,244,0.0131,0,None,0.0
NH-6,Meghalaya,37.76,1982.1,Sandstone-Siltstone,62.18,165.72,49.9,5.1,7.2,0.292,3,1470,0.9335,0,None,0.0
NH-208,Tripura,8.0,139.1,Gneiss-Schist,68.72,145.41,50.6,5.6,5.9,0.402,0,1919,0.1136,0,None,0.0
NH-13,Arunachal Pradesh,50.12,1955.0,Alluvial Silt,0.78,21.75,16.1,3.5,4.8,0.645,7,1576,0.7723,1,Road Subsidence & Edge Collapse,22.0
NH-6,Meghalaya,45.87,911.1,Fractured Shale,7.4,25.23,9.5,6.9,3.7,0.392,3,1695,0.4013,0,None,0.0
NH-6,Meghalaya,34.1,1418.0,Fractured Shale,26.5,88.55,33.3,5.0,5.5,0.437,1,1575,0.2954,0,None,0.0
NH-6,Meghalaya,40.68,1321.9,Alluvial Silt,148.87,506.37,99.0,9.9,7.7,0.523,3,1103,0.99,1,Major Landslide / Rockfall,20.1
NH-10,Sikkim,50.54,1434.9,Sandstone-Siltstone,139.31,408.35,88.3,4.1,5.1,0.51,4,1808,0.99,1,Major Landslide / Rockfall,12.4
NH-208,Tripura,12.09,77.0,Gneiss-Schist,55.61,157.51,56.2,9.9,5.0,0.626,1,1946,0.295,0,None,0.0
NH-715,Assam,12.07,50.0,Fractured Shale,2.14,42.74,19.3,3.8,5.8,0.851,0,1464,0.01,0,None,0.0
NH-102,Manipur,25.38,1451.2,Gneiss-Schist,84.7,252.45,57.8,4.3,1.1,0.145,0,1652,0.946,1,Tree Fall & Rock Obstruction,2.9
NH-208,Tripura,12.66,250.7,Fractured Shale,4.67,49.57,12.4,8.1,4.9,0.29,0,1022,0.01,0,None,0.0
NH-10,Sikkim,36.63,1123.8,Gneiss-Schist,73.66,232.12,46.8,8.0,6.0,0.381,2,1258,0.9727,1,Major Landslide / Rockfall,1.7
NH-102,Manipur,26.15,999.4,Fractured Shale,86.72,218.54,56.0,5.5,4.3,0.878,2,692,0.99,1,Tree Fall & Rock Obstruction,0.8
NH-208,Tripura,27.23,262.2,Sandstone-Siltstone,3.98,9.11,5.0,5.5,7.2,0.312,2,1664,0.0106,0,None,0.0
NH-6,Meghalaya,32.05,971.3,Fractured Shale,15.69,82.73,29.1,4.7,3.9,0.058,0,1125,0.0678,1,Tree Fall & Rock Obstruction,7.0
NH-13,Arunachal Pradesh,50.82,2247.3,Gneiss-Schist,2.94,15.06,17.3,5.0,3.2,0.396,4,1500,0.6391,1,Road Subsidence & Edge Collapse,21.4
NH-102,Manipur,28.73,815.0,Fractured Shale,20.74,83.79,35.7,8.1,5.7,0.79,0,1008,0.1401,0,None,0.0
NH-27,Assam,19.66,232.2,Sandstone-Siltstone,201.61,634.7,99.0,8.5,10.0,0.726,1,1061,0.99,1,Flash Flood & Highway Waterlogging,4.8
NH-27,Assam,20.52,50.0,Gneiss-Schist,1.1,25.67,24.5,8.4,4.3,0.239,0,933,0.01,0,None,0.0
NH-29,Nagaland,47.62,1318.6,Fractured Shale,80.11,201.52,72.5,7.9,3.9,0.472,4,724,0.99,1,Major Landslide / Rockfall,14.4
